id y.repeated y.trend time sex
352 2.17 4.19 1 1
93 1.49 1.7 1 0
301 0.84 1.67 1 0
366 1.02 2.43 1 1
306 1.06 1.71 1 1
298 0.88 3.94 1 1
278 1.31 4.78 1 1
276 2.34 2.5 1 1
258 1.18 0.98 1 1
182 0.05 3.88 1 1
361 1.31 2.37 1 0
297 1.59 0.89 1 0
31 0.24 2.11 1 0
20 -0.29 4.81 1 1
212 2.63 4.03 1 1
9 1.18 3.64 1 0
56 1.16 4.67 1 1
108 2.81 2.41 1 1
88 0.16 4.59 1 1
21 -0.12 2.51 1 0
256 1.26 4.84 1 1
210 2.22 6.09 1 1
330 1.88 2.11 1 1
314 2.77 4.37 1 1
149 2.25 2.44 1 0
103 0.32 -0.33 1 0
209 1.55 -0.1 1 0
95 0.71 5.12 1 0
16 2.16 7.71 1 1
341 -0.18 2.81 1 0
344 1.11 2.5 1 1
213 -0.64 3.33 1 0
353 -0.33 4.38 1 0
247 1.01 1.41 1 0
152 -0.7 5.87 1 1
393 0.74 3.18 1 0
120 1.21 0.42 1 1
3 1.29 -1.66 1 0
268 2.18 1.37 1 1
172 1.85 -0.12 1 1
246 2.49 -1.39 1 1
91 2.07 -1.4 1 0
240 2.84 6.6 1 1
383 2.27 1.92 1 0
64 0.5 4.8 1 1
224 0.44 4.7 1 1
325 1.05 -0.94 1 0
14 -0.1 2.23 1 1
230 1.34 2.93 1 1
336 0.52 -0.68 1 1
58 0.77 2.67 1 1
4 2.04 0.92 1 1
357 1.46 4.42 1 0
394 0.64 0.78 1 1
346 2.27 0.59 1 1
350 2.65 5.18 1 1
116 1.48 2.94 1 1
92 1.01 2.57 1 1
69 -0.39 1.9 1 0
13 0.62 2.72 1 0
59 0.98 -0.64 1 0
358 0.4 3.8 1 1
326 1.31 -2.48 1 1
348 3.15 1.24 1 1
243 0.11 6.62 1 0
48 1.35 3.3 1 1
228 4.02 0.46 1 1
36 2.37 2.88 1 1
370 1.76 4.92 1 1
171 -0.44 -0.52 1 0
157 0.03 2.58 1 0
227 0.93 3.27 1 0
221 0.18 -0.65 1 0
236 3.31 0.22 1 1
289 1.93 3.15 1 0
96 2.1 2.11 1 1
238 2.51 0.53 1 1
273 0.72 4.57 1 0
364 2.25 3.17 1 1
290 0.01 -4.54 1 1
121 1.67 -1.79 1 0
235 1.2 -2.18 1 0
254 2.37 2.94 1 1
185 1.48 -0.32 1 0
253 1.37 -0.75 1 0
61 0.37 4.31 1 0
66 2.36 3.52 1 1
263 1.47 -1.39 1 0
159 1.28 3.16 1 0
303 0.97 -2.11 1 0
259 0.98 3.59 1 0
130 2.39 9.82 1 1
205 1 -1.32 1 0
244 0.69 1.82 1 1
397 0.36 2.51 1 0
140 1.58 0.07 1 1
193 1.48 -1.77 1 0
291 -0.28 -1.22 1 0
251 2.12 -1.49 1 0
379 1.34 3.29 1 0
160 0.71 1.9 1 1
300 2.08 0.06 1 1
138 0.52 7.32 1 1
37 1.28 1.93 1 0
286 1.66 2.1 1 1
8 0.9 2.33 1 1
109 -0.1 0.37 1 0
71 1.67 -0.65 1 0
29 1.01 4.98 1 0
308 0.48 0.93 1 1
156 2.51 4.09 1 1
124 1.69 5.61 1 1
220 2.41 6.16 1 1
202 -0.45 -1 1 1
201 0.27 3.04 1 0
101 0.16 2.77 1 0
128 2.76 3.91 1 1
102 0.54 0.85 1 1
359 0.92 6.17 1 0
15 0.01 6.47 1 0
280 0.9 3.98 1 1
328 2.82 -3.47 1 1
87 -0.02 3.69 1 0
362 1.25 2.34 1 1
132 1.68 3.57 1 1
80 2 2.18 1 1
342 0.16 4.79 1 1
302 0.99 -5.65 1 1
68 3.79 5.12 1 1
242 1.22 0.37 1 1
163 0.92 3.51 1 0
312 -0.03 5.62 1 1
76 1.75 2.48 1 1
219 1 -4.18 1 0
18 0.96 2.8 1 1
208 2.48 5.24 1 1
1 1.83 -3.37 1 0
334 0.54 3.36 1 1
167 0.24 2.58 1 0
23 1.35 1.05 1 0
380 2.72 -0.87 1 1
292 1.4 4.24 1 1
351 0.94 5.57 1 0
277 2.37 3.59 1 0
223 0.3 0.03 1 0
100 1.97 -0.92 1 1
106 -0.55 0.62 1 1
178 1.98 6.61 1 1
165 -0.17 -1.22 1 0
233 -0.53 -1.82 1 0
388 1.37 2.47 1 1
196 3.28 1.34 1 1
237 0.55 0.76 1 0
141 2.18 3.21 1 0
324 2.03 6.58 1 1
112 2.21 5 1 1
24 -0.78 3.64 1 1
381 0.79 -0.23 1 0
215 0.5 0.62 1 0
44 -0.01 2.29 1 1
299 1.26 -1.2 1 0
139 0.25 4.85 1 0
12 1.1 -1.44 1 1
151 2.18 0.71 1 0
180 1.64 5.37 1 1
25 1.62 1.92 1 0
250 1.04 3.13 1 1
387 0.7 4.73 1 0
239 2.24 -0.03 1 0
164 2.31 6.53 1 1
148 0.47 6.03 1 1
369 0.43 -0.11 1 0
249 -0.52 1.82 1 0
198 1.88 3.44 1 1
372 0.16 1.19 1 1
86 -1.49 5.87 1 1
390 0.55 1.97 1 1
150 3.43 7.57 1 1
368 0.7 6.05 1 1
145 1.96 6.55 1 0
386 0.58 4.84 1 1
169 1.52 4.34 1 0
98 1.53 0.76 1 1
27 1.08 0.47 1 0
354 0.92 -1.17 1 1
400 1.36 3.09 1 1
62 3.41 1.7 1 1
7 1.48 5.85 1 0
285 1.13 5.13 1 0
133 -0.16 7.11 1 0
318 1.94 4.83 1 1
40 1.05 2.67 1 1
255 1.88 2.8 1 0
374 1.19 3.97 1 1
391 0.53 0.64 1 0
275 0.43 -0.34 1 0
82 4.35 5.23 1 1
60 1.83 0.64 1 1
177 0.05 0.21 1 0
398 1.18 5.11 1 1
191 1.5 1.58 1 0
75 3.02 0.62 1 0
49 2.42 1.76 1 0
170 1.71 2.03 1 1
195 -0.46 -4.69 1 0
252 1.87 6.34 1 1
114 2.06 -1.53 1 1
77 0.51 -0.45 1 0
376 2.36 4.29 1 1
305 1.08 -0.83 1 0
267 2.31 3.76 1 0
371 2.39 5.57 1 0
90 2.18 0.59 1 1
392 2.29 3.76 1 1
229 0.01 5.57 1 0
97 1.72 2.62 1 0
183 2.23 -1.67 1 0
335 -0.55 7.23 1 0
176 1.21 1.96 1 1
211 3.28 0.01 1 0
146 2.69 2.95 1 1
81 0.85 3.5 1 0
274 2.48 4.36 1 1
184 2.35 -0.2 1 1
190 1.62 2.8 1 1
188 2.47 4.49 1 1
281 0.22 -0.18 1 0
154 2.38 7.41 1 1
349 -0.72 0.13 1 0
234 2.63 -1.74 1 1
2 1.43 5.76 1 1
200 1.65 5.44 1 1
367 2.79 0.55 1 0
296 2.37 1.68 1 1
218 1.06 3.88 1 1
262 -0.44 3.55 1 1
399 1.75 6.04 1 0
54 1.62 7.45 1 1
153 2.52 3.51 1 0
329 2.16 4.3 1 0
117 2.44 2.67 1 0
282 0.31 1.76 1 1
119 1.37 3.45 1 0
94 3.25 0.09 1 1
55 2.32 3.26 1 0
203 0.79 4.2 1 0
271 1.13 5.63 1 0
110 2.6 3.72 1 1
317 0.55 9.8 1 0
168 3.19 1.7 1 1
356 2.59 1.58 1 1
10 3.2 -0.2 1 1
226 0.17 5.37 1 1
225 1.03 -0.29 1 0
279 0.51 4.98 1 0
333 -0.65 1.2 1 0
57 0.39 -4.06 1 0
131 0.4 0.33 1 0
11 1.75 5.59 1 0
365 0.24 1.22 1 0
293 0.75 -0.29 1 0
304 2.37 -0.41 1 1
189 1.17 0.95 1 0
142 2.63 3.56 1 1
161 2.1 4.19 1 0
33 3.02 3.98 1 0
63 1.19 -0.4 1 0
385 1.57 0.06 1 0
53 1.56 0.06 1 0
378 0.6 5.6 1 1
79 1.81 2.05 1 0
51 0.65 2.15 1 0
17 1.4 1.43 1 0
332 2.89 4.22 1 1
194 0.85 -0.77 1 1
257 2.71 -0.67 1 0
19 1.29 -6.22 1 0
118 1.22 3.94 1 1
5 0.68 3.9 1 0
134 2.05 5.44 1 1
47 1.88 -0.63 1 0
135 0.11 3.01 1 0
261 1.83 1.28 1 0
327 -0.56 2.44 1 0
147 1.54 1.47 1 0
174 3.14 3.87 1 1
126 0.39 7.57 1 1
310 1.98 4.25 1 1
345 0.8 3.05 1 0
173 2.18 4.22 1 0
166 1.19 3.8 1 1
373 1.09 0.48 1 0
192 1.58 -0.65 1 1
175 1.89 0.32 1 0
288 2.56 3.72 1 1
22 1.35 2.2 1 1
395 1.99 0.42 1 0
343 -0.97 2.16 1 0
38 0.09 6.84 1 1
35 0.28 0.89 1 0
222 2.62 -2.17 1 1
144 -0.29 2.96 1 1
42 2 3.93 1 1
309 2.47 0.38 1 0
99 3.25 4.67 1 0
316 1.26 1.56 1 1
26 0.47 4.88 1 1
197 0.85 1.17 1 0
207 1.95 -2.78 1 0
396 1.83 2.77 1 1
50 2.62 1.69 1 1
52 -0.23 1.11 1 1
323 0.27 -2.6 1 0
206 1.08 1.76 1 1
115 1.52 -2.64 1 0
363 0.47 10.3 1 0
231 1.78 4.03 1 0
311 -0.98 5.71 1 0
320 2.04 -0.49 1 1
187 -1.17 -0.45 1 0
269 1.39 5.48 1 0
72 1.87 -4.01 1 1
347 -0.29 2.16 1 0
389 1.06 3.31 1 0
248 1.43 2.83 1 1
41 0.46 5.75 1 0
70 0.46 1.38 1 1
65 1.23 6.57 1 0
319 1.42 3.64 1 0
245 0.92 4.73 1 0
